Site ID,Energy Consumption (kWh),Date
CCC1181,597.97,2020-11-10
CCC1181,637.13,2020-11-11
CCC1181,621.33,2020-11-12
CCC1181,515.13,2020-11-13
CCC1181,102.8,2020-11-14
CCC1181,267.17,2020-11-15
CCC1181,719.51,2020-11-16
CCC1181,669.49,2020-11-17
CCC1181,636.36,2020-11-18
CCC1181,618.38,2020-11-19
CCC1181,38.27,2020-11-20
,,2019-11-01
,,2019-11-02
,,2019-11-03
,,2019-11-04
,,2019-11-05
,,2019-11-06
,,2019-11-07
,,2019-11-08
,,2019-11-09
,,2019-11-10
,,2019-11-11
,,2019-11-12
,,2019-11-13
,,2019-11-14
,,2019-11-15
,,2019-11-16
,,2019-11-17
,,2019-11-18
,,2019-11-19
,,2019-11-20
,,2019-11-21
,,2019-11-22
,,2019-11-23
,,2019-11-24
,,2019-11-25
,,2019-11-26
,,2019-11-27
,,2019-11-28
,,2019-11-29
,,2019-11-30
,,2019-12-01
,,2019-12-02
,,2019-12-03
,,2019-12-04
,,2019-12-05
,,2019-12-06
,,2019-12-07
,,2019-12-08
,,2019-12-09
,,2019-12-10
,,2019-12-11
,,2019-12-12
,,2019-12-13
,,2019-12-14
,,2019-12-15
,,2019-12-16
,,2019-12-17
,,2019-12-18
,,2019-12-19
,,2019-12-20
,,2019-12-21
,,2019-12-22
,,2019-12-23
,,2019-12-24
,,2019-12-25
,,2019-12-26
,,2019-12-27
,,2019-12-28
,,2019-12-29
,,2019-12-30
,,2019-12-31
,,2020-01-01
,,2020-01-02
,,2020-01-03
,,2020-01-04
,,2020-01-05
,,2020-01-06
,,2020-01-07
CCC1150,264.03,2020-01-08
CCC1150,300.16,2020-01-09
CCC1150,314.15,2020-01-10
CCC1150,62.51,2020-01-11
CCC1150,66.74,2020-01-12
CCC1150,327.97,2020-01-13
CCC1150,300.86,2020-01-14
CCC1150,324.02,2020-01-15
CCC1150,350.18,2020-01-16
CCC1150,308.27,2020-01-17
CCC1150,61.48,2020-01-18
CCC1150,58.79,2020-01-19
CCC1150,257.46,2020-01-20
CCC1150,330.12,2020-01-21
CCC1150,310.25,2020-01-22
CCC1150,302.69,2020-01-23
CCC1150,327.83,2020-01-24
CCC1150,60.6,2020-01-25
CCC1150,59.97,2020-01-26
CCC1150,285.65,2020-01-27
CCC1150,323.12,2020-01-28
CCC1150,313.39,2020-01-29
CCC1150,298.77,2020-01-30
CCC1150,249.76,2020-01-31
CCC1150,56.22,2020-02-01
CCC1150,56.16,2020-02-02
CCC1150,187.97,2020-02-03
CCC1150,264.75,2020-02-04
CCC1150,386.43,2020-02-05
CCC1150,408.32,2020-02-06
CCC1150,298.3,2020-02-07
CCC1150,55.21,2020-02-08
CCC1150,54.32,2020-02-09
CCC1150,300.29,2020-02-10
CCC1150,306.46,2020-02-11
CCC1150,330.31,2020-02-12
CCC1150,325.66,2020-02-13
CCC1150,263,2020-02-14
CCC1150,57.07,2020-02-15
CCC1150,56.73,2020-02-16
CCC1150,262.39,2020-02-17
CCC1150,337.27,2020-02-18
CCC1150,301.8,2020-02-19
CCC1150,308.26,2020-02-20
CCC1150,195.4,2020-02-21
CCC1150,63.07,2020-02-22
CCC1150,61.38,2020-02-23
CCC1150,249.44,2020-02-24
CCC1150,281.49,2020-02-25
CCC1150,308.8,2020-02-26
CCC1150,290.35,2020-02-27
CCC1150,288.84,2020-02-28
CCC1150,57.61,2020-02-29
CCC1150,55.99,2020-03-01
CCC1150,305.6,2020-03-02
CCC1150,292.63,2020-03-03
CCC1150,293.68,2020-03-04
CCC1150,298.98,2020-03-05
CCC1150,240.25,2020-03-06
CCC1150,58.96,2020-03-07
CCC1150,55.25,2020-03-08
CCC1150,255.64,2020-03-09
CCC1150,264.73,2020-03-10
CCC1150,288.76,2020-03-11
CCC1150,299.58,2020-03-12
CCC1150,291.14,2020-03-13
CCC1150,65.16,2020-03-14
CCC1150,64.33,2020-03-15
CCC1150,294.21,2020-03-16
CCC1150,310.98,2020-03-17
CCC1150,282.62,2020-03-18
CCC1150,299.9,2020-03-19
CCC1150,244.33,2020-03-20
CCC1150,57.34,2020-03-21
CCC1150,57.07,2020-03-22
CCC1150,240.95,2020-03-23
CCC1150,269.66,2020-03-24
CCC1150,268.03,2020-03-25
CCC1150,281.2,2020-03-26
CCC1150,265.26,2020-03-27
CCC1150,59.47,2020-03-28
CCC1150,59.3,2020-03-29
CCC1150,275.86,2020-03-30
CCC1150,266.95,2020-03-31
CCC1150,241.25,2020-04-01
CCC1150,260.92,2020-04-02
CCC1150,186.06,2020-04-03
CCC1150,56.58,2020-04-04
CCC1150,56.51,2020-04-05
CCC1150,181.4,2020-04-06
CCC1150,190.02,2020-04-07
CCC1150,244.19,2020-04-08
CCC1150,234.31,2020-04-09
CCC1150,198.11,2020-04-10
CCC1150,58.04,2020-04-11
CCC1150,57.85,2020-04-12
CCC1150,220.07,2020-04-13
CCC1150,247.26,2020-04-14
CCC1150,263.88,2020-04-15
CCC1150,253.09,2020-04-16
CCC1150,211.7,2020-04-17
CCC1150,66.18,2020-04-18
CCC1150,67.07,2020-04-19
CCC1150,230.34,2020-04-20
CCC1150,266.71,2020-04-21
CCC1150,246.23,2020-04-22
CCC1150,322.05,2020-04-23
CCC1150,283.41,2020-04-24
CCC1150,62.64,2020-04-25
CCC1150,62.52,2020-04-26
CCC1150,224.83,2020-04-27
CCC1150,277.2,2020-04-28
CCC1150,239.44,2020-04-29
CCC1150,140.11,2020-04-30
CCC1150,96.6,2020-05-01
CCC1150,60.69,2020-05-02
CCC1150,59.66,2020-05-03
CCC1150,235.36,2020-05-04
CCC1150,189.53,2020-05-05
CCC1150,222.47,2020-05-06
CCC1150,267.07,2020-05-07
CCC1150,233.26,2020-05-08
CCC1150,88.67,2020-05-09
CCC1150,77.51,2020-05-10
CCC1150,250.71,2020-05-11
CCC1150,240.76,2020-05-12
CCC1150,276.54,2020-05-13
CCC1150,234.56,2020-05-14
CCC1150,217.4,2020-05-15
CCC1150,59.95,2020-05-16
CCC1150,60.17,2020-05-17
CCC1150,205.69,2020-05-18
CCC1150,204.3,2020-05-19
CCC1150,225.9,2020-05-20
CCC1150,241.64,2020-05-21
CCC1150,245.66,2020-05-22
CCC1150,65.62,2020-05-23
CCC1150,69.29,2020-05-24
CCC1150,90.9,2020-05-25
CCC1150,290.72,2020-05-26
CCC1150,341.97,2020-05-27
CCC1150,386.22,2020-05-28
CCC1150,291.08,2020-05-29
CCC1150,66.99,2020-05-30
CCC1150,65.01,2020-05-31
CCC1150,270.56,2020-06-01
CCC1150,296.29,2020-06-02
CCC1150,281.41,2020-06-03
CCC1150,318.82,2020-06-04
CCC1150,258.97,2020-06-05
CCC1150,68.97,2020-06-06
CCC1150,84.53,2020-06-07
CCC1150,249.03,2020-06-08
CCC1150,289.84,2020-06-09
CCC1150,318.02,2020-06-10
CCC1150,304.15,2020-06-11
CCC1150,287.83,2020-06-12
CCC1150,60.17,2020-06-13
CCC1150,61.16,2020-06-14
CCC1150,287.71,2020-06-15
CCC1150,265.21,2020-06-16
CCC1150,280.24,2020-06-17
CCC1150,332.14,2020-06-18
CCC1150,309.17,2020-06-19
CCC1150,88.56,2020-06-20
CCC1150,91.8,2020-06-21
CCC1150,331.53,2020-06-22
CCC1150,338.99,2020-06-23
CCC1150,344.37,2020-06-24
